post_id,title,category,score,num_comments,author,collected_at
47730522,Show HN: Waffle – Native macOS terminal that auto-tiles sessions into a grid,entertainment,38,20,olleeolleeollee,2026-04-13 15:18:23.975068
47702647,"Launch HN: Relvy (YC F24) – On-call runbooks, automated",entertainment,48,25,behat,2026-04-13 15:18:24.333498
47736071,The Universal Standard Book Number,entertainment,13,4,novalis78,2026-04-13 15:18:30.543136
47715339,Show HN: Keeper – embedded secret store for Go (help me break it),entertainment,63,33,babawere,2026-04-13 15:18:44.200394
47692043,Muse Spark: Scaling towards personal superintelligence,worldnews,392,367,chabons,2026-04-13 15:18:56.871547
47689165,"Show HN: I pipe free sports streams into Jellyfin – no ads, just HLS",sports,119,36,pruz,2026-04-13 15:18:58.413327
47733479,Show HN: A Better Internet,entertainment,10,3,tclancy,2026-04-13 15:18:59.213528
47694036,Show HN: Orange Juice – Small UX improvements that make HN easier to read,entertainment,147,158,latchkey,2026-04-13 15:19:00.488574
47729994,Polymarket gamblers betting millions on war,worldnews,158,128,sandebert,2026-04-13 15:19:05.051861
47693960,Flashback to a time when government reports were works of art,worldnews,30,12,NaOH,2026-04-13 15:19:09.296920
47690797,Show HN: Go-Bt: Minimalist Behavior Trees for Go,entertainment,62,12,rvitorper,2026-04-13 15:19:10.525529
47704430,Can It Resolve Doom? Game Engine in 2k DNS Records,sports,10,2,choult,2026-04-13 15:19:11.910746
47710835,"Show HN: Rust based eBook library for Python, with MIT license",entertainment,33,3,larry-the-agent,2026-04-13 15:19:13.418436
47696562,Show HN: Is Hormuz open yet?,entertainment,482,209,anonfunction,2026-04-13 15:19:14.151318
47704259,"Show HN: Guruka.com – free guided mediations. No signup, private, works offline",entertainment,39,16,eummm,2026-04-13 15:19:14.545057
47723243,Combining spicy foods with mint boosts anti-inflammatory effects 100x or more,sports,87,49,joeax,2026-04-13 15:19:19.246462
47722566,DOJ wants to scrap Watergate-era rule that makes presidential records public,worldnews,261,69,tlhunter,2026-04-13 15:19:25.910840
47716617,Show HN: Do All the Things,entertainment,26,8,brainbun,2026-04-13 15:19:26.709206
47718694,"""Negative"" views of Broadcom driving VMware migrations, rival says",worldnews,76,39,breve,2026-04-13 15:19:33.464794
47717514,"Inflation Rose to 3.3% in March, Driven by Rising Fuel Costs",sports,63,3,JumpCrisscross,2026-04-13 15:19:33.894107
47733222,Show HN: Bitcoin and Quantum Computing – a three-part research series,science,6,1,nvk,2026-04-13 15:19:35.894323
47702791,Show HN: 41 years sea surface temperature anomalies,entertainment,147,73,willmeyers,2026-04-13 15:19:39.606946
47730916,QB64 Tutorial A beginner's introduction to game programming,sports,7,0,AlexeyBrin,2026-04-13 15:19:47.864356
47730540,Show HN: We scanned uscis.gov for third-party trackers. The results are jarring,entertainment,6,0,simple_elephant,2026-04-13 15:19:48.710000
47736637,CDC director delays report showing Covid vaccine benefits,entertainment,24,2,iamflimflam1,2026-04-13 15:19:49.061804
47711623,Mexico's President Sheinbaum Decrees Universal Healthcare for 120M,worldnews,61,32,testing22321,2026-04-13 15:20:00.072672
47717565,"Show HN: Steadcast – Free Mac podcast player for learning, not background noise",sports,7,2,steadcast,2026-04-13 15:20:16.538146
47725942,Warez Scene,worldnews,25,7,maltalex,2026-04-13 15:20:20.599890
47731064,Valve Developer Improves the Linux Gaming Experience for Limited VRAM Hardware,worldnews,13,0,bpierre,2026-04-13 15:20:29.249059
47733776,"Amazon Luna Will No Longer Allow Owners to Buy Games, Access Game Stores",sports,15,2,surgical_fire,2026-04-13 15:20:36.485094
